premiseid,premisesname,altpremisesname,customer,tenancyfloororsuite,premisetype,streetnumber,streetname,suburb,state,postcode,latitude,longitude,ratingreferencenumber,ratingtype,ratingscope,certificatevalidto,energystarratingvalue,energygpstarratingvaluenogp,energygreenpowerpercent,energygreenpower,wastestarratingvalue,ieqstarratingvalue,ghgemissionsscope123withrenewableelectricity,ghgemissionsscope123withoutrenewableelectricity,ghgemissionsscope123perm2withrenewableelectricity,ghgemissionsscope123perm2withoutrenewableelectricity,energyintensitybym2,energyintensitybyroom,ghgemissionsscope123perroom,ghgemissionsscope123perroomnogp,totalenergyuse,carbonneutral,carbonneutralexpirydate,aaastarratingvalue,datacentre_pue,hospitalpeergroup,waterstarratingvalue,waterstarratingvaluenorw,waterrecycledpercent,waterrecycled,waterconsumption,waterconsumptionworw,waterconsumptionperroom,waterconsumptionperroomnorw,waterintensity,waterintensitynorw,thermalcomfortscore,airqualityscore,acousticcomfortscore,lightingscore,officelayoutscore,recyclerate,wasteintensity,apartmentbuildingstotalnumberofapartments,agedcaretotalbeds,hotelratedguestrooms,officeratedarea,shoppingcentresratedarea,ratedsitearea_cl_rl_wc,ratedelectricity,ratedgas,gasandlpg_rei%,rateddiesel,diesel_rei%,reiresult_%,reiresult1dp_%,totalrenewableelectricity_kwh,nonrenewableelectricity_kwh,nonrenewableelectricity_rei%,onsitepvcapacity_kw,onsiterenewableelectricity_kwh,onsiterenewableelectricity_rei%,retandstateterritorytargets_kwh,retandstateterritorytargets_rei%,greenpower_kwh,greenpower_rei%,othervoluntarypurchases_kwh,othervoluntarypurchases_rei%,combined_column,_merge
1015,QV1,QV1,CBRE PTY LIMITED,NULL,Office,250,St Georges Terrace,PERTH,WA,6000,-31.95215907,115.8508348,N61672,Waste,Base Building,2023-12-13 00:00:00,NULL,NULL,NULL,NULL,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2023-12-13 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,1.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1015_N61672_Waste_2023-12-13,both
1015,QV1,QV1,Investa Property Group & Commonwealth Superannuation Corporation,NULL,Office,250,St Georges Terrace,PERTH,WA,6000,-31.95215907,115.8508348,N65725,Indoor Environment,Base Building,2023-11-28 00:00:00,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2023-11-28 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94.8,93.8,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1015_N65725_Indoor Environment_2023-11-28,both
10215,Brookfield Place Sydney,Brookfield Place Sydney,Brookfield Commercial Operations Pty Limited,NULL,Office,2-10,Carrington Street,SYDNEY,NSW,2000,-33.86533306,151.2066842,N66265,Waste,Base Building,2023-12-23 00:00:00,NULL,NULL,NULL,NULL,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2023-12-23 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,1.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10215_N66265_Waste_2023-12-23,both
10215,Brookfield Place Sydney,Brookfield Place Sydney,Brookfield Commercial Operations Pty Limited,NULL,Office,2-10,Carrington Street,SYDNEY,NSW,2000,-33.86533306,151.2066842,N68149,Indoor Environment,Base Building,2024-11-14 00:00:00,NULL,NULL,NULL,NULL,NULL,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-11-14 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94.2,86.1,77.2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10215_N68149_Indoor Environment_2024-11-14,both
10243,168 Cremorne Street,168 Cremorne Street,Eureka Fund 5 Pty Ltd ATF The Eureka Property Fund 5 Sub-Trust A,NULL,Office,168,Cremorne Street,CREMORNE,VIC,3121,-37.83046007,144.9897305,N66187,Waste,Base Building,2024-01-25 00:00:00,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-01-25 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,0.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10243_N66187_Waste_2024-01-25,both
10263,QV Building (222 Lonsdale),QV Building (222 Lonsdale),DEXUS FUNDS MANAGEMENT LIMITED,NULL,Office,222,Lonsdale Street,MELBOURNE,VIC,3000,-37.81118826,144.9652294,N67880,Indoor Environment,Base Building,2024-08-07 00:00:00,NULL,NULL,NULL,NULL,NULL,4.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-08-07 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56.8,84.5,97.2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10263_N67880_Indoor Environment_2024-08-07,both
10265,Foundry (Building 2),Foundry (Building 2),MIRVAC FUNDS LIMITED,NULL,Office,1,Locomotive Street,EVELEIGH,NSW,2015,-33.89556854,151.1958175,N67858,Indoor Environment,Base Building,2024-08-09 00:00:00,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-08-09 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.3,92.2,63.6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10265_N67858_Indoor Environment_2024-08-09,both
10293,Botanicca 3,Botanicca 3,GROWTHPOINT PROPERTIES AUSTRALIA LIMITED,NULL,Office,3/572,Swan Street,BURNLEY,VIC,3121,-37.8282227,145.0202128,N65950,Indoor Environment,Base Building,2023-12-19 00:00:00,NULL,NULL,NULL,NULL,NULL,4.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2023-12-19 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76.7,87.3,63.6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10293_N65950_Indoor Environment_2023-12-19,both
10318,2 Melbourne Quarter,2 Melbourne Quarter,LENDLEASE (TWO MELBOURNE QUARTER) PTY LTD,NULL,Office,697,Collins Street,DOCKLANDS,VIC,3008,-37.82009536,144.951334,N66262,Indoor Environment,Base Building,2024-03-06 00:00:00,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-03-06 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61.3,97.5,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10318_N66262_Indoor Environment_2024-03-06,both
1034,NULL,NULL,Charter Hall Limited,NULL,Office,1,Nicholson Street,EAST MELBOURNE,VIC,3002,-37.80897643,144.9732728,N66708,Indoor Environment,Base Building,2024-04-11 00:00:00,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-04-11 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77.4,92.6,72.4,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1034_N66708_Indoor Environment_2024-04-11,both
