PremiseID,PremisesName,AltPremisesName,Customer,TenancyFloorOrSuite,PremiseType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,RatingReferenceNumber,RatingType,RatingScope,CertificateValidTo,EnergyStarRatingValue,EnergyGPStarRatingValueNoGP,EnergyGreenPowerPercent,EnergyGreenPower,WasteStarRatingValue,IEQStarRatingValue,GHGEmissionsScope123WithRenewableElectricity,GHGEmissionsScope123WithoutRenewableElectricity,GHGEmissionsScope123PerM2WithRenewableElectricity,GHGEmissionsScope123PerM2WithoutRenewableElectricity,EnergyIntensityByM2,EnergyIntensityByRoom,GHGEmissionsScope123PerRoom,GHGEmissionsScope123PerRoomNoGP,TotalEnergyUse,CarbonNeutral,CarbonNeutralExpiryDate,AAAStarRatingValue,DataCentre_PUE,HospitalPeerGroup,WaterStarRatingValue,WaterStarRatingValueNoRW,WaterRecycledPercent,WaterRecycled,WaterConsumption,WaterConsumptionWoRW,WaterConsumptionPerRoom,WaterConsumptionPerRoomNoRW,WaterIntensity,WaterIntensityNoRW,ThermalComfortScore,AirQualityScore,AcousticComfortScore,LightingScore,OfficeLayoutScore,RecycleRate,WasteIntensity,ApartmentBuildingsTotalNumberOfApartments,AgedCareTotalBeds,HotelRatedGuestRooms,OfficeRatedArea,ShoppingCentresRatedArea,RatedSiteArea_CL_RL_WC,RatedElectricity,RatedGas,GasAndLPG_REI%,RatedDiesel,Diesel_REI%,REIResult_%,REIResult1dp_%,TotalRenewableElectricity_kWh,NonRenewableElectricity_kWh,NonRenewableElectricity_REI%,OnsitePVCapacity_kW,OnsiteRenewableElectricity_kWh,OnsiteRenewableElectricity_REI%,RETandStateTerritoryTargets_kWh,RETandStateTerritorytargets_REI%,GreenPower_kWh,GreenPower_REI%,OtherVoluntaryPurchases_kWh,OtherVoluntaryPurchases_REI%
1015,QV1,QV1,Investa Property Group & Commonwealth Superannuation Corporation,,Office,250,St Georges Terrace,PERTH,WA,6000,-31.95215907,115.85083481,N68119,Indoor Environment,Whole Building,16/11/2024,,,,,,5.50,,,,,,,,,,NO,16/11/2024,,,,,,,,,,,,,,93.80,85.70,56.70,94.00,74.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10215,Brookfield Place Sydney,Brookfield Place Sydney,Brookfield Commercial Operations Pty Limited,,Office,2-10,Carrington Street,SYDNEY,NSW,2000,-33.86533306,151.20668421,N66265,Waste,Base Building,23/12/2023,,,,,5.50,,,,,,,,,,,NO,23/12/2023,,,,,,,,,,,,,,,,,,,65.00,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,
10215,Brookfield Place Sydney,Brookfield Place Sydney,Brookfield Commercial Operations Pty Limited,,Office,2-10,Carrington Street,SYDNEY,NSW,2000,-33.86533306,151.20668421,N68149,Indoor Environment,Base Building,14/11/2024,,,,,,5.50,,,,,,,,,,NO,14/11/2024,,,,,,,,,,,,,,94.20,86.10,77.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10243,168 Cremorne Street,168 Cremorne Street,Eureka Fund 5 Pty Ltd ATF The Eureka Property Fund 5 Sub-Trust A,,Office,168,Cremorne Street,CREMORNE,VIC,3121,-37.83046007,144.98973050,N66187,Waste,Base Building,25/01/2024,,,,,2.00,,,,,,,,,,,NO,25/01/2024,,,,,,,,,,,,,,,,,,,25.00,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,
10263,QV Building (222 Lonsdale),QV Building (222 Lonsdale),DEXUS FUNDS MANAGEMENT LIMITED,,Office,222,Lonsdale Street,MELBOURNE,VIC,3000,-37.81118826,144.96522936,N67880,Indoor Environment,Base Building,07/08/2024,,,,,,4.50,,,,,,,,,,NO,07/08/2024,,,,,,,,,,,,,,56.80,84.50,97.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10265,Foundry (Building 2),Foundry (Building 2),MIRVAC FUNDS LIMITED,,Office,1,Locomotive Street,EVELEIGH,NSW,2015,-33.89556854,151.19581749,N67858,Indoor Environment,Base Building,09/08/2024,,,,,,5.00,,,,,,,,,,NO,09/08/2024,,,,,,,,,,,,,,87.30,92.20,63.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10293,Botanicca 3,Botanicca 3,GROWTHPOINT PROPERTIES AUSTRALIA LIMITED,,Office,3/572,Swan Street,BURNLEY,VIC,3121,-37.82822270,145.02021282,N65950,Indoor Environment,Base Building,19/12/2023,,,,,,4.50,,,,,,,,,,NO,19/12/2023,,,,,,,,,,,,,,76.70,87.30,63.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10318,2 Melbourne Quarter,2 Melbourne Quarter,LENDLEASE (TWO MELBOURNE QUARTER) PTY LTD,,Office,697,Collins Street,DOCKLANDS,VIC,3008,-37.82009536,144.95133399,N66262,Indoor Environment,Base Building,06/03/2024,,,,,,5.00,,,,,,,,,,NO,06/03/2024,,,,,,,,,,,,,,61.30,97.50,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,,,Charter Hall Limited,,Office,1,Nicholson Street,EAST MELBOURNE,VIC,3002,-37.80897643,144.97327281,N66708,Indoor Environment,Base Building,11/04/2024,,,,,,5.00,,,,,,,,,,NO,11/04/2024,,,,,,,,,,,,,,77.40,92.60,72.40,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10380,South Australian Emergency Services Headquarters,South Australian Emergency Services Headquarters,Charter Hall Real Estate Management Services (SA) Pty Ltd,,Office,37,Richmond Road,KESWICK TERMINAL,SA,5035,-34.94047971,138.57945676,N67783,Indoor Environment,Base Building,15/09/2024,,,,,,6.00,,,,,,,,,,NO,15/09/2024,,,,,,,,,,,,,,93.10,96.50,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
